AverageAge,Balance(m),Goal_ratio(%),Lose_score,Point,Rank,Score,Shot_accuracy(%),Total_shots,Valid_shot_ratio(%),Valid_shots,goal_gain_lose_gap,Team,season
-0.10513539627630017,-0.16678591639642049,1.5681944120138687,-0.8593040509596619,1.4719274171095347,-1.1272429603813559,0.8975319056456152,1.1229909221581087,-0.4860463934475078,-0.24054150262801896,-0.47867990578575004,0.9614448196361102,아스날,2013-2014
-2.1494347683154613,-0.5651294058591567,0.06901007275933545,0.6889915363550441,-0.8131549040374145,0.780398972571708,-0.7394759725759473,0.45606783457433975,-0.8373901140239945,-0.9552470244755595,-0.864767688070094,-0.7833994826664602,아스톤 빌라,2013-2014
-1.3706540551576853,-0.08856231318173495,0.04521349594577151,1.6953836681096028,-1.2590246252368191,1.647508942095828,-1.1346158052501176,0.45010117057469107,-1.1510898645387149,-0.9747789104267636,-1.0302338804776698,-1.4955808305450604,카디프,2013-2014
0.6736453168814757,0.07385376256923878,0.5925347626577436,-1.943110962079956,1.6391285625593113,-1.30066495428618,1.0668775482202597,0.7349827396650603,0.19154506766428803,-0.7335591586596826,-0.25116389122533306,1.5667989653329204,첼시,2013-2014
1.0630356734603619,-0.23118687486634237,-0.0975659649356125,-0.3174005953995148,-0.4230188979879354,0.086710996952412,-1.0781672577252361,0.1879941448758384,-1.0256099643328267,-0.7930869480899836,-0.9268175102229349,-0.5341360109089501,크리스탈 팰리스,2013-2014
0.5762977277367524,-0.9741540298973922,0.9256868380476403,-1.0141336096911324,1.0817914110600555,-0.9538209664765319,0.502392072971445,0.8796036959841851,-0.4044844583136805,-0.5696731277351278,-0.526940878571293,0.7833994826664602,에버튼,2013-2014
1.939163975762861,-0.3544911490099733,0.8067039539798202,2.546946241132691,-1.147557194936968,1.474086948191004,-0.6830274250510658,0.8976009705483424,-1.1322678795078316,-0.7141376439575863,-0.9681840583248289,-1.6024080327268504,풀럼,2013-2014
0.7709929060261954,-0.27485386621911867,0.7115176467255637,0.06967330142916166,-0.8688886191873401,0.9538209664765319,-0.7959245201008288,0.6804535266267023,-1.169911849569598,-0.5387422546007391,-0.9543952089575309,-0.5341360109089501,헐시티,2013-2014
-1.273306466012962,-0.3474227511291282,1.9489396410308923,-0.16257103666804423,1.7505959928591626,-1.474086948191004,2.760333973966704,1.5209418683939946,0.31075097285988174,-0.354845420589827,-0.03743672603221411,1.8160624370904304,리버풀,2013-2014
0.8683404951709187,0.887190745391813,2.163108832352969,-1.168963168422603,1.8620634231590136,-1.647508942095828,2.8167825214915854,2.06981283596605,0.22918903772605448,-0.751124127094201,-0.23737504185803507,2.3145893806054505,맨시티,2013-2014
-0.10513539627630017,0.43371375245848504,1.3302286438782285,-0.7044744922281913,0.6359216898606508,-0.6069769786668839,0.6717377155460894,1.2192893981865451,-0.5048683784783911,-0.5879342849272597,-0.5889907007241341,0.7477904152725302,맨유,2013-2014
-0.3971781637104665,-1.0962016999733173,-0.40692146351194486,0.5341619776235734,-0.20008403738823305,-0.086710996952412,-0.5136817824764215,0.013280343100410524,-0.30410053814897003,-0.9296292425741148,-0.582096276040485,-0.5697450783028801,뉴캐슬,2013-2014
-0.3971781637104665,-0.3533916204507307,-0.621090654834021,0.7664063157207793,-1.0918234797870425,1.30066495428618,-1.3604099953496436,-0.05655961990395207,-0.9942399892813547,-1.1211979152084124,-0.981972907692127,-1.2107082913936202,노리치,2013-2014
-1.9547395900260147,-0.19348875283516861,1.306432067064664,-0.4722301541309854,0.19005196866124607,-0.43355498476205995,0.10725224029727472,1.311538285523971,-0.8311161190137001,-0.7112899391634643,-0.802717865917253,0.28487253915144006,사우스햄튼,2013-2014
0.6736453168814757,-0.639583196870725,2.0917191019122767,-0.007741477936573639,-0.14435032223830746,-0.26013299085723596,-0.4007846874266585,1.9689681387205566,-1.3581316998784303,-0.7171485708557618,-1.092283702630511,-0.24926347175751007,스토크시티,2013-2014
-0.3971781637104665,-0.5684279915368844,0.18799295682715553,0.6115767569893087,-0.8131549040374145,0.6069769786668839,-0.6265788775261844,0.6032455465656741,-0.8122941339828169,-1.008313107311022,-0.864767688070094,-0.6765722804846701,선더랜드,2013-2014
-0.3971781637104665,-0.33155812477434254,0.7115176467255637,0.14708808079489694,-0.5902200434377122,0.26013299085723596,0.10725224029727472,0.7984543082787311,-0.5487863435504519,-0.6969920880096415,-0.644146098193326,0.0,스완지,2013-2014
-1.5653492334471284,-0.9985007337091919,0.04521349594577151,-0.08515625730230894,0.9145902656102787,-0.780398972571708,0.1637007878221562,0.3180887295824641,-0.0782367177783714,-0.7879180314108449,-0.41663008363290904,0.14243626957572003,토트넘,2013-2014
1.0630356734603619,-0.6819935841557955,1.3302286438782285,0.5341619776235734,-0.9246223343372657,1.1272429603813559,-0.5136817824764215,1.8156401641576565,-1.2075558196313645,-1.1841804397706748,-1.0991781273141599,-0.5697450783028801,웨스트 브로미치,2013-2014
1.7444687974734143,-0.3808798344317949,1.0922628757425883,-0.08515625730230894,-0.7016874737375633,0.43355498476205995,-0.6830274250510658,2.373811154075884,-1.2326517996725421,-1.780515021448871,-1.223277771619842,-0.3916997413332301,웨스트햄,2013-2014
-0.6892209311446329,0.6826784333726953,1.1160594525561518,-1.2463779477883383,1.2489925565098323,-1.30066495428618,1.0668775482202597,0.8068749837043694,-0.15352465790190428,-0.27025345243875465,-0.2856360146435781,1.2463173587875502,아스날,2014-2015
