Team,Rank,Point,Score,Lose_score,Balance(m),AverageAge,season,goal_gain_lose_gap
맨시티,1,100,106,27,226.15,26.0,2017-2018,79
맨유,2,81,68,28,152.9,26.3,2017-2018,40
뉴캐슬,10,44,39,47,25.28,25.5,2017-2018,-8
사우스햄튼,17,36,37,56,-37.1,26.0,2017-2018,-19
스토크시티,19,33,35,68,22.56,27.5,2017-2018,-33
스완지,18,33,28,56,-7.72,27.0,2017-2018,-28
토트넘,3,77,74,36,17.2,25.8,2017-2018,38
왓포드,14,41,44,64,54.66,27.6,2017-2018,-20
웨스트 브로미치,20,31,31,56,51.45,28.7,2017-2018,-25
웨스트햄,13,42,48,68,-12.22,27.6,2017-2018,-20
본머스,14,45,56,70,71.4,26.2,2018-2019,-14
아스날,5,70,73,51,71.05,26.4,2018-2019,22
브라이튼,17,36,35,60,77.0,27.2,2018-2019,-25
번리,15,40,45,68,25.0,27.9,2018-2019,-23
카디프,18,34,34,69,51.2,27.3,2018-2019,-35
첼시,3,72,63,39,125.55,27.1,2018-2019,24
크리스탈 팰리스,12,49,51,53,11.5,27.2,2018-2019,-2
에버튼,8,54,54,46,71.15,25.5,2018-2019,8
풀럼,19,26,34,81,111.15,25.8,2018-2019,-47
허더스필드,20,16,22,76,38.37,25.9,2018-2019,-54
레스터시티,9,52,51,48,18.8,25.9,2018-2019,3
리버풀,2,97,89,22,140.88,26.2,2018-2019,67
맨시티,1,98,95,23,20.99,26.4,2018-2019,72
맨유,6,66,65,54,52.15,26.0,2018-2019,11
뉴캐슬,13,45,42,48,8.7,26.6,2018-2019,-6
사우스햄튼,16,39,45,65,36.15,25.4,2018-2019,-20
토트넘,4,71,67,39,-5.35,26.6,2018-2019,28
왓포드,11,50,52,59,-21.74,27.9,2018-2019,-7
웨스트햄,10,52,52,55,87.14,27.7,2018-2019,-3
울버햄튼,7,57,47,46,89.45,25.4,2018-2019,1
본머스,18,34,40,65,20.29,25.1,2019-2020,-25
아스날,8,56,56,48,107.15,25.1,2019-2020,8
아스톤 빌라,17,35,41,67,156.5,25.6,2019-2020,-26
브라이튼,15,41,39,54,53.24,26.4,2019-2020,-15
번리,10,54,43,50,10.3,28.1,2019-2020,-7
첼시,4,66,69,54,-112.27,25.3,2019-2020,15
크리스탈 팰리스,14,43,31,50,-47.78,29.0,2019-2020,-19
에버튼,12,49,44,56,33.2,25.5,2019-2020,-12
