,Unnamed: 0,Team,Rank,Point,Score,Lose_score,Balance(m),AverageAge,season
0,0,AFC Bournemouth,12,44,45,61,-34.3,26.7,2017-2018
1,1,Arsenal FC,6,63,74,51,9.15,26.5,2017-2018
2,2,Brighton & Hove Albion,15,40,34,54,-66.1,27.4,2017-2018
3,3,Burnley FC,7,54,36,39,14.26,27.3,2017-2018
4,4,Chelsea FC,5,70,62,38,-65.9,26.6,2017-2018
5,5,Crystal Palace,11,44,45,55,-52.95,27.0,2017-2018
6,6,Everton FC,8,49,44,58,-76.82,26.3,2017-2018
7,7,Huddersfield Town,16,37,28,58,-50.3,26.2,2017-2018
8,8,Leicester City,9,47,56,60,-33.75,26.8,2017-2018
9,9,Liverpool FC,4,75,84,38,10.85,25.5,2017-2018
10,10,Manchester City,1,100,106,27,-226.15,26.0,2017-2018
11,11,Manchester United,2,81,68,28,-152.9,26.3,2017-2018
12,12,Newcastle United,10,44,39,47,-25.28,25.5,2017-2018
13,13,Southampton FC,17,36,37,56,37.1,26.0,2017-2018
14,14,Stoke City,19,33,35,68,-22.56,27.5,2017-2018
15,15,Swansea City,18,33,28,56,7.72,27.0,2017-2018
16,16,Tottenham Hotspur,3,77,74,36,-17.2,25.8,2017-2018
17,17,Watford FC,14,41,44,64,-54.66,27.6,2017-2018
18,18,West Bromwich Albion,20,31,31,56,-51.45,28.7,2017-2018
19,19,West Ham United,13,42,48,68,12.22,27.6,2017-2018
