,Unnamed: 0,Team,Rank,Point,Score,Lose_score,Balance(m),AverageAge,season
0,0,AFC Bournemouth,15,39,37,71,-83.1,26.2,2022-2023
1,1,Arsenal FC,2,84,88,43,-168.1,24.6,2022-2023
2,2,Aston Villa,7,61,51,46,-46.14,26.9,2022-2023
3,3,Brentford FC,9,59,58,46,-45.65,25.7,2022-2023
4,4,Brighton & Hove Albion,6,62,72,53,82.2,25.7,2022-2023
5,5,Chelsea FC,12,44,38,47,-543.63,25.9,2022-2023
6,6,Crystal Palace,11,45,40,49,-41.15,26.6,2022-2023
7,7,Everton FC,17,36,34,57,25.4,26.3,2022-2023
8,8,Fulham FC,10,52,55,53,-50.3,27.9,2022-2023
9,9,Leeds United,19,31,48,78,-36.89,25.1,2022-2023
10,10,Leicester City,18,34,51,68,32.4,26.3,2022-2023
11,11,Liverpool FC,5,67,75,47,-61.6,27.2,2022-2023
12,12,Manchester City,1,89,94,33,7.17,26.7,2022-2023
13,13,Manchester United,3,75,58,43,-219.63,26.6,2022-2023
14,14,Newcastle United,4,71,68,33,-171.29,27.0,2022-2023
15,15,Nottingham Forest,16,38,38,68,-190.25,26.5,2022-2023
16,16,Southampton FC,20,25,36,73,-146.61,24.6,2022-2023
17,17,Tottenham Hotspur,8,60,70,63,-139.15,27.1,2022-2023
18,18,West Ham United,14,40,42,55,-164.95,27.9,2022-2023
19,19,Wolverhampton Wanderers,13,41,31,58,-114.24,26.5,2022-2023
