,Unnamed: 0,Team,Rank,Point,Score,Lose_score,Balance(m),AverageAge,season
0,0,AFC Bournemouth,16,42,45,67,-54.46,27.5,2015-2016
1,1,Arsenal FC,2,71,65,36,-24.0,26.6,2015-2016
2,2,Aston Villa,20,17,27,76,-1.85,26.2,2015-2016
3,3,Chelsea FC,10,50,59,53,-9.01,26.4,2015-2016
4,4,Crystal Palace,15,42,39,51,-23.4,27.5,2015-2016
5,5,Everton FC,11,47,59,55,-37.2,26.5,2015-2016
6,6,Leicester City,1,81,68,36,-40.45,27.3,2015-2016
7,7,Liverpool FC,8,60,63,50,-35.95,24.9,2015-2016
8,8,Manchester City,4,66,71,41,-141.03,27.8,2015-2016
9,9,Manchester United,5,66,49,35,-55.33,25.4,2015-2016
10,10,Newcastle United,18,37,44,65,-102.48,25.2,2015-2016
11,11,Norwich City,19,34,39,67,-29.01,27.7,2015-2016
12,12,Southampton FC,6,63,59,41,-7.4,26.0,2015-2016
13,13,Stoke City,9,51,41,55,-30.45,27.5,2015-2016
14,14,Sunderland AFC,17,39,48,62,-55.05,27.2,2015-2016
15,15,Swansea City,12,47,42,52,-5.01,27.5,2015-2016
16,16,Tottenham Hotspur,3,70,69,35,16.25,24.2,2015-2016
17,17,Watford FC,13,45,40,50,-73.05,28.1,2015-2016
18,18,West Bromwich Albion,14,43,34,48,-29.98,28.6,2015-2016
19,19,West Ham United,7,62,65,51,-34.19,26.4,2015-2016
