Team,Rank,Point,Score,Lose_score,Balance,AverageAge
Arsenal FC,5,69,61,48,-136.00m,24.4
Aston Villa,14,45,52,54,-2.80m,25.9
Brentford FC,13,46,48,56,-37.20m,25.1
Brighton & Hove Albion,9,51,42,44,3.80m,26.0
Burnley FC,18,35,34,53,-8.90m,28.8
Chelsea FC,3,74,76,33,30.94m,27.1
Crystal Palace,12,48,50,46,-85.62m,26.9
Everton FC,16,39,43,66,6.50m,26.5
Leeds United,17,38,42,79,-59.30m,25.6
Leicester City,8,52,62,59,-63.60m,26.3
Liverpool FC,2,92,94,26,-57.45m,27.7
Manchester City,1,93,99,26,-45.10m,27.0
Manchester United,6,58,57,57,-110.90m,27.0
Newcastle United,11,49,44,62,-130.50m,27.4
Norwich City,20,22,23,84,-25.15m,25.6
Southampton FC,15,40,43,67,-3.05m,25.6
Tottenham Hotspur,4,71,69,40,-61.28m,26.1
Watford FC,19,23,34,77,-30.65m,28.0
West Ham United,7,56,60,51,-70.27m,28.0
Wolverhampton Wanderers,10,51,38,43,-5.80m,26.5
