Team,Rank,Point,Score,Lose_score,Balance,AverageAge
Arsenal FC,8,61,55,39,-66.85m,25.7
Aston Villa,11,55,55,46,-98.58m,25.0
Brighton & Hove Albion,16,41,40,46,-29.50m,25.8
Burnley FC,17,39,33,55,1.20m,28.4
Chelsea FC,4,67,58,36,-190.05m,25.8
Crystal Palace,14,44,41,66,-2.40m,28.8
Everton FC,10,59,47,48,-69.95m,26.4
Fulham FC,18,28,27,53,-37.25m,25.2
Leeds United,9,59,62,54,-127.80m,26.1
Leicester City,5,66,68,50,-5.63m,26.4
Liverpool FC,3,69,68,42,-66.85m,26.8
Manchester City,1,86,83,32,-109.40m,26.1
Manchester United,2,74,73,44,-64.30m,25.5
Newcastle United,12,45,46,62,-38.48m,27.1
Sheffield United,20,23,20,63,-62.70m,26.5
Southampton FC,15,43,47,68,-11.00m,26.1
Tottenham Hotspur,7,62,68,45,-97.20m,27.0
West Bromwich Albion,19,26,35,76,-34.04m,26.5
West Ham United,6,65,62,47,-9.29m,27.7
Wolverhampton Wanderers,13,45,36,52,-8.39m,25.6
