Team,Rank,Point,Score,Lose_score,Balance,AverageAge
Arsenal FC,3,75,71,36,-91.18m,25.9
Aston Villa,17,38,31,57,-12.14m,26.2
Burnley FC,19,33,28,53,-12.62m,27.0
Chelsea FC,1,87,73,32,5.11m,27.0
Crystal Palace,10,48,47,51,-28.35m,27.5
Everton FC,11,47,48,50,-38.26m,27.7
Hull City,18,35,33,51,-29.52m,27.0
Leicester City,14,41,46,55,-22.86m,27.5
Liverpool FC,6,62,52,48,-52.16m,25.3
Manchester City,2,79,83,38,-72.50m,28.7
Manchester United,4,70,62,37,-148.65m,25.7
Newcastle United,15,39,40,63,-21.15m,25.6
Queens Park Rangers,20,30,42,73,-17.50m,28.0
Southampton FC,7,60,54,33,27.83m,25.6
Stoke City,9,54,48,45,2.00m,27.5
Sunderland AFC,16,38,31,53,-15.27m,27.5
Swansea City,8,56,46,49,20.37m,26.4
Tottenham Hotspur,5,64,58,53,-4.33m,24.5
West Bromwich Albion,13,44,38,51,-22.58m,27.9
West Ham United,12,47,44,47,-30.75m,27.1
