Team,Rank,Point,Score,Lose_score
Liverpool FC,1  ,99,85,33
Manchester City,2  ,81,102,35
Manchester United,3  ,66,66,36
Chelsea FC,4  ,66,69,54
Leicester City,5  ,62,67,41
Tottenham Hotspur,6  ,59,61,47
Wolverhampton Wanderers,7  ,59,51,40
Arsenal FC,8  ,56,56,48
Sheffield United,9  ,54,39,39
Burnley FC,10  ,54,43,50
Southampton FC,11  ,52,51,60
Everton FC,12  ,49,44,56
Newcastle United,13  ,44,38,58
Crystal Palace,14  ,43,31,50
Brighton & Hove Albion,15  ,41,39,54
West Ham United,16  ,39,49,62
Aston Villa,17  ,35,41,67
AFC Bournemouth,18  ,34,40,65
Watford FC,19  ,34,36,64
Norwich City,20  ,21,26,75
