Team,Rank,Point,Score,Lose_score
Manchester City,1  ,93,99,26
Liverpool FC,2  ,92,94,26
Chelsea FC,3  ,74,76,33
Tottenham Hotspur,4  ,71,69,40
Arsenal FC,5  ,69,61,48
Manchester United,6  ,58,57,57
West Ham United,7  ,56,60,51
Leicester City,8  ,52,62,59
Brighton & Hove Albion,9  ,51,42,44
Wolverhampton Wanderers,10  ,51,38,43
Newcastle United,11  ,49,44,62
Crystal Palace,12  ,48,50,46
Brentford FC,13  ,46,48,56
Aston Villa,14  ,45,52,54
Southampton FC,15  ,40,43,67
Everton FC,16  ,39,43,66
Leeds United,17  ,38,42,79
Burnley FC,18  ,35,34,53
Watford FC,19  ,23,34,77
Norwich City,20  ,22,23,84
