Team,AverageAge
Southampton FC,24.6
Arsenal FC,24.6
Leeds United,25.1
Brighton & Hove Albion,25.7
Brentford FC,25.7
Chelsea FC,25.9
AFC Bournemouth,26.2
Everton FC,26.3
Leicester City,26.3
Wolverhampton Wanderers,26.5
Nottingham Forest,26.5
Crystal Palace,26.6
Manchester United,26.6
Manchester City,26.7
Aston Villa,26.9
Newcastle United,27.0
Tottenham Hotspur,27.1
Liverpool FC,27.2
Fulham FC,27.9
West Ham United,27.9
