Team,Balance
Chelsea FC,-52.42m
Tottenham Hotspur,15.85m
Manchester City,-104.20m
Manchester United,-75.33m
Liverpool FC,-25.60m
Arsenal FC,-37.10m
Cardiff City,-42.08m
Southampton FC,-35.40m
Sunderland AFC,-11.53m
Crystal Palace,-33.00m
Everton FC,14.30m
Hull City,-30.22m
Norwich City,-25.22m
Fulham FC,-25.15m
Swansea City,-26.61m
West Ham United,-23.47m
Aston Villa,-11.74m
West Bromwich Albion,-4.30m
Stoke City,-7.00m
Newcastle United,22.07m
