Team,AverageAge
Aston Villa,25.0
Fulham FC,25.2
Manchester United,25.5
Wolverhampton Wanderers,25.6
Arsenal FC,25.7
Brighton & Hove Albion,25.8
Chelsea FC,25.8
Leeds United,26.1
Southampton FC,26.1
Manchester City,26.1
Leicester City,26.4
Everton FC,26.4
West Bromwich Albion,26.5
Sheffield United,26.5
Liverpool FC,26.8
Tottenham Hotspur,27.0
Newcastle United,27.1
West Ham United,27.7
Burnley FC,28.4
Crystal Palace,28.8
