Team,Balance
Chelsea FC,-543.63m
Manchester United,-219.63m
Nottingham Forest,-190.25m
Arsenal FC,-168.10m
West Ham United,-164.95m
Newcastle United,-171.29m
Tottenham Hotspur,-139.15m
Wolverhampton Wanderers,-114.24m
Manchester City,7.17m
Southampton FC,-146.61m
Leeds United,-36.89m
Liverpool FC,-61.60m
Aston Villa,-46.14m
AFC Bournemouth,-83.10m
Everton FC,25.40m
Fulham FC,-50.30m
Brighton & Hove Albion,82.20m
Brentford FC,-45.65m
Leicester City,32.40m
Crystal Palace,-41.15m
