Team,Balance
Arsenal FC,-136.00m
Manchester United,-110.90m
Manchester City,-45.10m
Newcastle United,-130.50m
Aston Villa,-2.80m
Chelsea FC,30.94m
Tottenham Hotspur,-61.28m
Liverpool FC,-57.45m
Crystal Palace,-85.62m
Brighton & Hove Albion,3.80m
West Ham United,-70.27m
Leicester City,-63.60m
Norwich City,-25.15m
Southampton FC,-3.05m
Leeds United,-59.30m
Burnley FC,-8.90m
Watford FC,-30.65m
Everton FC,6.50m
Brentford FC,-37.20m
Wolverhampton Wanderers,-5.80m
