Team,AverageAge
Newcastle United,25.5
Liverpool FC,25.5
Tottenham Hotspur,25.8
Manchester City,26.0
Southampton FC,26.0
Huddersfield Town,26.2
Everton FC,26.3
Manchester United,26.3
Arsenal FC,26.5
Chelsea FC,26.6
AFC Bournemouth,26.7
Leicester City,26.8
Swansea City,27.0
Crystal Palace,27.0
Burnley FC,27.3
Brighton & Hove Albion,27.4
Stoke City,27.5
Watford FC,27.6
West Ham United,27.6
West Bromwich Albion,28.7
