Team,Rank,Point,Score,Lose_score
Manchester City,1  ,100,106,27
Manchester United,2  ,81,68,28
Tottenham Hotspur,3  ,77,74,36
Liverpool FC,4  ,75,84,38
Chelsea FC,5  ,70,62,38
Arsenal FC,6  ,63,74,51
Burnley FC,7  ,54,36,39
Everton FC,8  ,49,44,58
Leicester City,9  ,47,56,60
Newcastle United,10  ,44,39,47
Crystal Palace,11  ,44,45,55
AFC Bournemouth,12  ,44,45,61
West Ham United,13  ,42,48,68
Watford FC,14  ,41,44,64
Brighton & Hove Albion,15  ,40,34,54
Huddersfield Town,16  ,37,28,58
Southampton FC,17  ,36,37,56
Swansea City,18  ,33,28,56
Stoke City,19  ,33,35,68
West Bromwich Albion,20  ,31,31,56
