Team,AverageAge
Aston Villa,24.4
Southampton FC,24.6
Tottenham Hotspur,25.0
Cardiff City,25.2
Liverpool FC,25.3
Swansea City,26.2
Norwich City,26.2
Sunderland AFC,26.2
Newcastle United,26.2
Manchester United,26.5
Arsenal FC,26.5
Everton FC,27.2
Stoke City,27.3
Chelsea FC,27.3
Hull City,27.4
Manchester City,27.5
West Bromwich Albion,27.7
Crystal Palace,27.7
West Ham United,28.4
Fulham FC,28.6
