Team,Balance
Chelsea FC,-190.05m
Manchester City,-109.40m
Leeds United,-127.80m
Tottenham Hotspur,-97.20m
Aston Villa,-98.58m
Wolverhampton Wanderers,-8.39m
Arsenal FC,-66.85m
Liverpool FC,-66.85m
Manchester United,-64.30m
Everton FC,-69.95m
Sheffield United,-62.70m
Leicester City,-5.63m
West Ham United,-9.29m
Brighton & Hove Albion,-29.50m
West Bromwich Albion,-34.04m
Newcastle United,-38.48m
Southampton FC,-11.00m
Fulham FC,-37.25m
Crystal Palace,-2.40m
Burnley FC,1.20m
