Team,Balance
Manchester City,-226.15m
Chelsea FC,-65.90m
Everton FC,-76.82m
Manchester United,-152.90m
Liverpool FC,10.85m
Arsenal FC,9.15m
Tottenham Hotspur,-17.20m
Leicester City,-33.75m
Watford FC,-54.66m
Swansea City,7.72m
Brighton & Hove Albion,-66.10m
Southampton FC,37.10m
Stoke City,-22.56m
West Ham United,12.22m
Huddersfield Town,-50.30m
Crystal Palace,-52.95m
West Bromwich Albion,-51.45m
Newcastle United,-25.28m
Burnley FC,14.26m
AFC Bournemouth,-34.30m
