Team,Rank,Point,Score,Lose_score
Manchester City,1  ,98,95,23
Liverpool FC,2  ,97,89,22
Chelsea FC,3  ,72,63,39
Tottenham Hotspur,4  ,71,67,39
Arsenal FC,5  ,70,73,51
Manchester United,6  ,66,65,54
Wolverhampton Wanderers,7  ,57,47,46
Everton FC,8  ,54,54,46
Leicester City,9  ,52,51,48
West Ham United,10  ,52,52,55
Watford FC,11  ,50,52,59
Crystal Palace,12  ,49,51,53
Newcastle United,13  ,45,42,48
AFC Bournemouth,14  ,45,56,70
Burnley FC,15  ,40,45,68
Southampton FC,16  ,39,45,65
Brighton & Hove Albion,17  ,36,35,60
Cardiff City,18  ,34,34,69
Fulham FC,19  ,26,34,81
Huddersfield Town,20  ,16,22,76
