Team,Rank,Point,Score,Lose_score
Manchester City,1  ,86,83,32
Manchester United,2  ,74,73,44
Liverpool FC,3  ,69,68,42
Chelsea FC,4  ,67,58,36
Leicester City,5  ,66,68,50
West Ham United,6  ,65,62,47
Tottenham Hotspur,7  ,62,68,45
Arsenal FC,8  ,61,55,39
Leeds United,9  ,59,62,54
Everton FC,10  ,59,47,48
Aston Villa,11  ,55,55,46
Newcastle United,12  ,45,46,62
Wolverhampton Wanderers,13  ,45,36,52
Crystal Palace,14  ,44,41,66
Southampton FC,15  ,43,47,68
Brighton & Hove Albion,16  ,41,40,46
Burnley FC,17  ,39,33,55
Fulham FC,18  ,28,27,53
West Bromwich Albion,19  ,26,35,76
Sheffield United,20  ,23,20,63
