Team,Balance
Chelsea FC,-125.55m
Liverpool FC,-140.88m
Fulham FC,-111.15m
Leicester City,-18.80m
Wolverhampton Wanderers,-89.45m
West Ham United,-87.14m
Everton FC,-71.15m
AFC Bournemouth,-71.40m
Brighton & Hove Albion,-77.00m
Manchester United,-52.15m
Arsenal FC,-71.05m
Manchester City,-20.99m
Southampton FC,-36.15m
Newcastle United,-8.70m
Cardiff City,-51.20m
Huddersfield Town,-38.37m
Burnley FC,-25.00m
Watford FC,21.74m
Crystal Palace,-11.50m
Tottenham Hotspur,5.35m
