Team,AverageAge
Tottenham Hotspur,24.2
Liverpool FC,24.9
Newcastle United,25.2
Manchester United,25.4
Southampton FC,26.0
Aston Villa,26.2
West Ham United,26.4
Chelsea FC,26.4
Everton FC,26.5
Arsenal FC,26.6
Sunderland AFC,27.2
Leicester City,27.3
Swansea City,27.5
AFC Bournemouth,27.5
Crystal Palace,27.5
Stoke City,27.5
Norwich City,27.7
Manchester City,27.8
Watford FC,28.1
West Bromwich Albion,28.6
