Team,AverageAge
Wolverhampton Wanderers,25.4
Southampton FC,25.4
Everton FC,25.5
Fulham FC,25.8
Leicester City,25.9
Huddersfield Town,25.9
Manchester United,26.0
Liverpool FC,26.2
AFC Bournemouth,26.2
Arsenal FC,26.4
Manchester City,26.4
Tottenham Hotspur,26.6
Newcastle United,26.6
Chelsea FC,27.1
Crystal Palace,27.2
Brighton & Hove Albion,27.2
Cardiff City,27.3
West Ham United,27.7
Watford FC,27.9
Burnley FC,27.9
