Team,AverageAge
Tottenham Hotspur,24.5
Liverpool FC,25.3
Newcastle United,25.6
Southampton FC,25.6
Manchester United,25.7
Arsenal FC,25.9
Aston Villa,26.2
Swansea City,26.4
Chelsea FC,27.0
Burnley FC,27.0
Hull City,27.0
West Ham United,27.1
Sunderland AFC,27.5
Crystal Palace,27.5
Leicester City,27.5
Stoke City,27.5
Everton FC,27.7
West Bromwich Albion,27.9
Queens Park Rangers,28.0
Manchester City,28.7
