Team,Balance
Manchester United,-148.65m
Liverpool FC,-52.16m
Chelsea FC,5.11m
Arsenal FC,-91.18m
Manchester City,-72.50m
Southampton FC,27.83m
Tottenham Hotspur,-4.33m
Hull City,-29.52m
Newcastle United,-21.15m
Queens Park Rangers,-17.50m
Swansea City,20.37m
Everton FC,-38.26m
West Ham United,-30.75m
Crystal Palace,-28.35m
West Bromwich Albion,-22.58m
Leicester City,-22.86m
Sunderland AFC,-15.27m
Aston Villa,-12.14m
Burnley FC,-12.62m
Stoke City,2.00m
