Team,AverageAge
Manchester United,24.7
Arsenal FC,25.1
AFC Bournemouth,25.1
Chelsea FC,25.3
Everton FC,25.5
Aston Villa,25.6
Southampton FC,25.7
Norwich City,25.9
Leicester City,25.9
Wolverhampton Wanderers,25.9
Tottenham Hotspur,26.2
Brighton & Hove Albion,26.4
Newcastle United,26.5
Liverpool FC,26.6
Manchester City,26.7
Sheffield United,26.9
West Ham United,27.4
Burnley FC,28.1
Watford FC,28.4
Crystal Palace,29.0
