Team,Rank,Point,Score,Lose_score
Chelsea FC,1  ,87,73,32
Manchester City,2  ,79,83,38
Arsenal FC,3  ,75,71,36
Manchester United,4  ,70,62,37
Tottenham Hotspur,5  ,64,58,53
Liverpool FC,6  ,62,52,48
Southampton FC,7  ,60,54,33
Swansea City,8  ,56,46,49
Stoke City,9  ,54,48,45
Crystal Palace,10  ,48,47,51
Everton FC,11  ,47,48,50
West Ham United,12  ,47,44,47
West Bromwich Albion,13  ,44,38,51
Leicester City,14  ,41,46,55
Newcastle United,15  ,39,40,63
Sunderland AFC,16  ,38,31,53
Aston Villa,17  ,38,31,57
Hull City,18  ,35,33,51
Burnley FC,19  ,33,28,53
Queens Park Rangers,20  ,30,42,73
