Team,AverageAge
Tottenham Hotspur,24.9
Liverpool FC,25.6
Southampton FC,25.8
Manchester United,26.4
AFC Bournemouth,26.4
West Ham United,26.5
Sunderland AFC,26.5
Arsenal FC,26.6
Chelsea FC,27.0
Middlesbrough FC,27.1
Everton FC,27.2
Hull City,27.2
Swansea City,27.3
Leicester City,27.3
Burnley FC,27.4
Crystal Palace,27.8
Manchester City,28.1
Watford FC,28.4
Stoke City,28.6
West Bromwich Albion,28.9
