Team,Balance
Manchester United,-155.62m
Manchester City,-98.82m
Arsenal FC,-107.15m
Aston Villa,-156.50m
Tottenham Hotspur,-86.00m
Everton FC,-33.20m
West Ham United,-64.32m
Wolverhampton Wanderers,-92.60m
Leicester City,-15.80m
Newcastle United,-37.26m
Sheffield United,-72.15m
Brighton & Hove Albion,-53.24m
Southampton FC,-34.20m
Watford FC,-30.60m
AFC Bournemouth,-20.29m
Chelsea FC,112.27m
Burnley FC,-10.30m
Liverpool FC,37.60m
Norwich City,-6.62m
Crystal Palace,47.78m
