Team,Balance
Manchester City,-180.90m
Manchester United,-137.75m
Chelsea FC,-23.90m
Arsenal FC,-102.65m
Crystal Palace,-51.00m
Leicester City,-26.05m
Everton FC,-25.20m
Tottenham Hotspur,-31.20m
West Ham United,-42.50m
Liverpool FC,5.48m
Watford FC,-12.35m
Southampton FC,16.15m
Swansea City,-8.80m
Middlesbrough FC,-34.45m
Burnley FC,-44.40m
Stoke City,-38.37m
Sunderland AFC,-18.13m
AFC Bournemouth,-17.00m
Hull City,-11.10m
West Bromwich Albion,-10.93m
