Team,Rank,Point,Score,Lose_score
Leicester City,1  ,81,68,36
Arsenal FC,2  ,71,65,36
Tottenham Hotspur,3  ,70,69,35
Manchester City,4  ,66,71,41
Manchester United,5  ,66,49,35
Southampton FC,6  ,63,59,41
West Ham United,7  ,62,65,51
Liverpool FC,8  ,60,63,50
Stoke City,9  ,51,41,55
Chelsea FC,10  ,50,59,53
Everton FC,11  ,47,59,55
Swansea City,12  ,47,42,52
Watford FC,13  ,45,40,50
West Bromwich Albion,14  ,43,34,48
Crystal Palace,15  ,42,39,51
AFC Bournemouth,16  ,42,45,67
Sunderland AFC,17  ,39,48,62
Newcastle United,18  ,37,44,65
Norwich City,19  ,34,39,67
Aston Villa,20  ,17,27,76
