Team,Balance
Manchester City,-141.03m
Manchester United,-55.33m
Liverpool FC,-35.95m
Newcastle United,-102.48m
Chelsea FC,-9.01m
Watford FC,-73.05m
Tottenham Hotspur,16.25m
Aston Villa,-1.85m
Sunderland AFC,-55.05m
Southampton FC,-7.40m
AFC Bournemouth,-54.46m
Stoke City,-30.45m
West Ham United,-34.19m
Norwich City,-29.01m
Leicester City,-40.45m
Everton FC,-37.20m
West Bromwich Albion,-29.98m
Crystal Palace,-23.40m
Arsenal FC,-24.00m
Swansea City,-5.01m
